Date,Narration / Particulars,Chq/Ref No.,Withdrawal ₹,Deposit ₹,Balance ₹
01-Feb-2026,Opening Balance,-,-,-,"32,000.00"
03-Feb-2026,Salary Credit - ABC Tech Pvt Ltd,NEFT123456,-,"42,000.00","74,000.00"
04-Feb-2026,Rent Payment - Landlord via UPI,UPI987654,"15,000.00",-,"59,000.00"
05-Feb-2026,Netflix Subscription,Auto-debit,149.00,-,"58,851.00"
06-Feb-2026,Amazon Prime Monthly,Auto-debit,299.00,-,"58,552.00"
07-Feb-2026,Spotify Premium,Auto-debit,119.00,-,"58,433.00"
08-Feb-2026,Apple iCloud Storage 200GB,Auto-debit,130.00,-,"58,303.00"
10-Feb-2026,Groceries - Big Bazaar,POS12345,"1,850.00",-,"56,453.00"
11-Feb-2026,Metro Card Recharge,UPI recharge,450.00,-,"56,003.00"
12-Feb-2026,Uber Ride - Office to Home,UPI567890,320.00,-,"55,683.00"
13-Feb-2026,Groceries - Reliance Fresh,POS67890,"2,100.00",-,"53,583.00"
14-Feb-2026,Movie Ticket - PVR Cinemas (Valentine special),Online Book,950.00,-,"52,633.00"
15-Feb-2026,Flight Booking - Delhi to Mumbai (IndiGo),PG789012,"5,000.00",-,"47,633.00"
16-Feb-2026,Uber Eats Dinner,UPI345678,680.00,-,"46,953.00"
17-Feb-2026,Groceries - DMart,POS45678,"1,950.00",-,"45,003.00"
18-Feb-2026,Metro Daily Commute (multiple),Auto,380.00,-,"44,623.00"
19-Feb-2026,Mall Shopping - Zara & Food Court,Card swipe,"2,450.00",-,"42,173.00"
20-Feb-2026,Phone Recharge + DTH,UPI recharge,850.00,-,"41,323.00"
21-Feb-2026,Groceries - Local Market,Cash via ATM,"1,600.00",-,"39,723.00"
22-Feb-2026,Uber Ride - Weekend outing,UPI901234,410.00,-,"39,313.00"
23-Feb-2026,Movie + Snacks - INOX Mall,Online Book,"1,380.00",-,"37,933.00"
24-Feb-2026,Electricity Bill via Netbanking,BillPay456,"2,200.00",-,"35,733.00"
25-Feb-2026,Groceries + Vegetables,POS23456,"1,450.00",-,"34,283.00"
26-Feb-2026,Metro Pass Top-up,UPI recharge,500.00,-,"33,783.00"
27-Feb-2026,Miscellaneous Online Shopping (Myntra),Card2345,"1,780.00",-,"32,003.00"
28-Feb-2026,Fuel - Petrol Pump,POS78901,"1,950.00",-,"30,053.00"
"Total Debits: ₹42,947.00",,,,,
"Total Credits: ₹42,000.00 (excluding opening)",,,,,
"Closing Balance as on 28-Feb-2026: ₹30,053.00",,,,,
